hotel,zip_code,numRev,Score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Daily Housekeeping,Heating,Fitness Center,Room Service,Family Rooms,Parking,Airport Shuttle,Laundry,Free WiFi.1,Air Conditioning,Pet Friendly,Elevator,Facilities for Disabled Guests,Bar,Non-smoking Rooms,Restaurant,24-Hour Front Desk,WiFi,Dist,Label
Fifty Hotel & Suites by Affinia,10022,1302,8.2,8.4,8.3,7.9,8.2,7.5,8,8.9,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,2
IBEROSTAR 70 Park Avenue Hotel,10016,2008,8.3,8.3,8.3,7.7,8.6,7.8,8.9,9.2,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1.3,2
Courtyard by Marriott New York Manhattan/Chelsea,10001,961,8.5,8.9,8.5,8.2,8.4,7.8,8.7,9.1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1.5,2
Best Western Bowery Hanbee Hotel,10013,1022,8,8.2,7.8,7.5,8.6,7.6,8.2,9,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,3.1,2
Hotel on Rivington,10002,549,8.4,8.6,8.6,8,8.4,7.8,8.7,8.8,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,3.1,2
Athenas Domus CS 6E,10011,13,9.5,10,9.6,9.6,9.2,9.1,10,9.4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2,2
Hampton Inn Manhattan - Times Square South,10018,1092,8.2,8.4,8,7.9,8.5,7.6,8.2,8.7,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,2
Tribeca Lofts,10013,36,8.1,8.4,8.1,7.4,7.9,7.4,7.5,9.2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,3.1,2
Cambria Hotel New York - Chelsea,10001,1816,8.8,8.7,8.8,8.5,9.2,8.3,9.2,9.2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1.6,2
JW Marriott Essex House New York,10019,551,7.9,8,8,7.5,8,6.5,7.1,9.3,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1150,2
Hampton Inn Manhattan-35th Street/Empire State Building,10001,1760,8.6,8.6,8.4,8.1,8.9,8,8.2,9.4,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1.3,2
Hilton Garden Inn New York Times Square South,10018,853,8.7,9,8.8,8.5,8.7,8.2,8.2,8.9,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1.1,2
Sheraton Tribeca New York Hotel,10013,2791,7.8,7.8,7.9,7.4,8.1,7.3,8.4,8.3,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,3.1,2
Wellington Hotel,10019,7288,7.7,7.8,7.5,6.9,7.6,7.2,4.2,9.1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1500,0
The London NYC,10018,1514,8.2,8.4,8.5,7.9,8.1,7.4,8.7,9.1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1800,2
Broadway Plaza Hotel,10001,764,8.5,8.8,8.5,7.9,8.8,8,7.6,9,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1.7,2
Eurostars Wall Street,10005,980,7.9,7.8,7.9,7.5,8.3,7.6,8.4,8.5,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,4.3,2
Sanctuary Hotel New York,10036,1222,8.6,8.9,8.3,8.1,9.2,7.8,8.8,9.5,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0.7,2
InterContinental New York Barclay Hotel,10017,2344,8.8,9.2,9.1,8.7,8.6,8.1,6.6,9.3,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,2
Aloft Manhattan Downtown - Financial District,10038,1515,8.3,8.7,8.3,8,8.3,7.7,9,8.6,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,3.7,2
EVEN Hotel New York Times Square South,10001,1203,9,9.4,9.1,9,9.2,8.2,9.1,9.1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1.2,2
"The Lexington, Autograph Collection",10018,2766,8.2,8.4,8.1,8,8.2,7.5,8.4,9,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,2
The Mark New York,10075,321,9,9.4,9.2,9.1,9.1,7.8,8.9,9.4,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1.1,2
Studios Midtown Manhattan,10001,325,8.5,8.6,7.8,8.1,9.1,8.1,9.3,9.4,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1.5,2
Hilton Times Square,10036,1956,8.5,8.7,8.7,8.3,8.3,7.7,5.9,9.2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0.9,2
Holiday Inn Express New York City Chelsea,10001,2934,8.1,8.3,7.7,7.6,8.4,7.5,8.6,8.7,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1.5,2
Oakwood at the Nash,10016,428,8.8,8.8,8.9,8.8,8.5,8.6,9.2,9.1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1.5,2
Andaz Wall Street-a concept by Hyatt,10005,558,8.7,8.7,8.8,8.6,8.9,8.3,8.9,8.8,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,4.3,2
Room Mate Grace Boutique Hotel,10036,2001,8.7,8.8,8.5,8.4,9.1,8,8.7,9.6,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0.8,2
DoubleTree by Hilton NYC - Financial District,10004,3976,7.9,8,7.9,7.4,8.1,7.4,8.5,8.4,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,4.3,2
Big 3 BDR Apt Times Square 9th Ave,10018,27,8.1,7.8,7.9,7.7,8.4,7.5,9.1,9,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2
East Village Hotel,10003,904,8,7.8,7.8,7.6,8.1,7.7,9.1,9,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2.8,2
The Smyth,10007,394,8.5,9,8.7,8.2,8.6,7.7,9,9,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,3.7,2
The James New York - NoMad,10016,514,8.2,8.4,8.4,7.7,8.3,7.7,8.6,8.9,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1.6,2
Conrad New York,10282,1078,9.1,9.5,9.4,9.1,8.9,8.4,9,9.1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,3.7,2
La Quinta Inn & Suites Manhattan,10001,6434,8,8.3,7.8,7.5,7.9,7.5,8.6,8.9,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1.5,2
Four Points by Sheraton Manhattan SoHo Village,10014,1368,8.1,8.2,7.9,7.6,8.7,7.6,8.7,8.6,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,3.1,2
Residence Inn by Marriott New York Downtown Manhattan/World Trade Center Area,10007,1380,8.8,8.9,8.9,8.6,8.9,8.1,8.8,9.2,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,3.7,2
Kimpton Ink48 Hotel,10036,800,8.7,9.2,9,8.8,9,8.1,8,8.4,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0.8,2
Hilton Garden Inn West 35th Street,10001,1985,8.6,8.7,8.5,8.2,8.7,8,8.4,9.4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1.3,2
Hilton New York Fashion District,10001,1216,8.2,8.5,8.2,7.9,8.3,7.5,8.3,8.8,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1.7,2
