hotel,Score,Cleanliness,Comfort
Hilton Orlando Buena Vista Palace - Disney Springs Area,8.1,8.0,8.1
Avanti Palms Resort And Conference Center,7.3,6.6,7.4
Melia Orlando Hotel,8.1,8.0,8.2
Wyndham Orlando Resort International Drive,7.7,7.7,7.6
Eight Bedrooms with Private Pool and Spa (1756),7.4,7.5,7.8
Ramada Plaza Resort & Suites by Wyndham Orlando Intl Drive,7.3,7.2,7.2
Ramada by Wyndham Suites Orlando Airport,7.7,7.5,7.6
Extended Stay America - Orlando - Convention Center - Universal Blvd,7.6,7.1,7.4
Golf View Vacation Rentals,7.4,7.4,7.7
Ramada by Wyndham Kissimmee Gateway,7.3,6.9,7.1
La Quinta Inn & Suites Orlando Universal Area,7.7,7.5,7.7
Simba's Lake House,8.2,7.9,8.8
Days Inn by Wyndham Orlando Airport Florida Mall,7.4,7.2,7.2
Six Bedrooms with Private Pool and Spa (1746),7.9,7.5,8.6
Red Roof Inn Orlando South - Florida Mall,7.4,7.2,7.3
Best Western Airport Inn & Suites,7.8,7.9,7.7
Holiday Inn Orlando International Airport,7.2,7.0,7.2
The Floridian Hotel and Suites,7.3,6.8,7.0
Days Inn by Wyndham Orlando/International Drive,5.6,5.0,5.2
ACO - Windsor Hills with Private pool (1617),7.5,7.3,7.8
Altamonte Hotel & Suites,5.0,4.5,4.9
Quality Suites Orlando I-Drive Convention Center,7.7,7.7,7.9
Paradise Palms 4 Bedroom-3082,8.8,8.8,9.0
Paradise Palms 4 Bedroom-3281,8.7,8.9,8.6
Quality Inn & Suites,8.1,8.1,7.8
Sheraton Orlando Lake Buena Vista Resort,7.5,7.3,7.5
Windsor Hills Six Bedroom Holiday Home 26Dv29,7.9,7.7,8.4
Paradise Palms 5 Bedroom-3613,9.1,8.8,9.3
Sunny Oaks,8.3,8.0,8.5
Four Points by Sheraton Orlando International Drive,7.8,7.8,7.8
Park Inn by Radisson Resort & Conference Center- Orlando- Near Disney,7.4,7.2,7.3
Marriott's Grande Vista,8.8,8.9,9.0
Best Western Plus Universal Inn,8.5,8.4,8.3
Coco Key Hotel & Water Park Resort,7.0,6.7,6.9
"Disney-World Area Orlando, U.S.A Favorite Holiday Rentals",7.9,7.6,8.2
Drury Inn & Suites Orlando,9.1,9.1,9.1
Westgate Leisure Resort,8.1,8.1,8.2
Windsors Hills 7749,9.1,9.0,9.5
Hampton Inn & Suites Orlando near SeaWorld,9.0,9.2,9.1
Westgate Vacation Villas Resort,7.7,7.7,7.7
Three Bedroom Vacation Townhouse Oakwater Resort 28ow14,9.5,9.5,9.5
