hotel,zip_code,numRev,Score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Daily Housekeeping,Heating,Fitness Center,Room Service,Family Rooms,Parking,Airport Shuttle,Laundry,Free WiFi.1,Air Conditioning,Pet Friendly,Elevator,Facilities for Disabled Guests,Bar,Non-smoking Rooms,Restaurant,24-Hour Front Desk,WiFi,Dist,Label
Park Lane Hotel - A Central Park Hotel,10019,6930,7.6,7.4,7.6,7,7.6,6.8,7.7,9.3,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,2150,1
Holiday Inn Express - Wall Street,10005,738,8.1,8.3,7.6,7.7,8.5,7.6,7.8,8.6,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,4.3,0
Park Central,10019,5597,7.9,8.1,8,7.4,7.5,7,8.3,9.1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1300,0
Manhattan Studio in Hells Kitchen,10036,43,8.8,9,8.3,8.7,9.4,8.3,9.6,8.9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0.7,0
Lita's New York Apartments,10031,76,8.4,9.2,8.2,8.1,9,7.7,8.8,8.2,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,4.3,0
Little Italy Grand,10013,37,8.2,8.4,7.8,8.1,8.9,7.6,10,8.6,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,3.1,0
The Park Ave North,10035,556,7.7,8.4,7.8,7.5,8,7.7,7.9,6.8,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3.1,0
Huge 2 Bed 2 Bath Apartment in Building with Elevator,10065,7,8.5,7.5,8.2,8.2,9.3,7.9,9.7,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1.2,2
Chelsea Inn,10011,1286,7.4,7.5,6.8,6.8,7.7,7.1,7.5,8.8,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,2.1,1
New York Marriott East Side,10017,303,7.8,7.9,7.7,7.4,7.9,7,5.1,8.8,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1
Green Holidays Apartments,10001,275,7.4,7.4,6.8,6.8,7.4,6.9,7.6,8.9,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1.5,1
Apartment Close to Time Square,10019,39,8.4,8,8,7.8,8.6,8.1,9.7,9.6,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1650,0
PermaGO FiDi,10038,51,8.3,8.2,8.1,8.2,8.3,8,9.3,8.8,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,3.7,0
Maison le Grange,10032,30,9.1,9.3,9.2,9.1,9.3,9,10,8.8,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,5,0
Saint Nicholas Inn,10032,79,8,7.7,7.8,7.6,8.6,8.1,8.4,8,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,4.3,0
