hotel,zip_code,numRev,Score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Free Parking,Fitness Center,Family Rooms,Parking,Airport Shuttle,Air Conditioning,Free WiFi.1,Outdoor Pool,Pet Friendly,Bar,Non-smoking Rooms,WiFi,Dist,Label
Quality Inn & Suites By The Parks,34747,3294,8.6,8.6,8.3,8.3,9,8.6,8.3,8.7,0,1,0,0,0,0,0,1,1,0,0,0,0,18.6,0
Villas of Grand Cypress,32836,417,9.1,9.3,9.4,9.2,9.2,8.5,9,9.2,0,1,0,1,0,0,0,1,0,1,1,1,0,12.4,0
Hyatt Place across from Universal Orlando Resort,32819,645,8.3,8.3,8.3,8,8.7,8,8.1,8.7,0,1,0,1,0,0,0,1,1,1,1,0,0,5.6,0
Disney Bunk Room--Windsor Hills,34747,7,9,8.6,9.3,9.7,8.2,8.9,9.3,6,0,1,1,0,0,0,0,1,1,0,1,1,0,19.3,2
Blue Heron Beach Resort,32821,912,8.6,8,8.7,8.5,8.6,8.7,9,9.2,0,1,0,1,0,0,0,1,1,0,1,1,0,13,0
Holiday Inn Express-International Drive,32819,681,8.7,8.8,8.8,8.5,8.6,8.4,8.3,8.9,1,1,0,0,0,0,0,1,1,0,0,1,0,7.5,0
Hyatt Regency Grand Cypress,32836,1586,8.9,8.9,9.1,9.2,9,8.2,8.8,9.1,0,0,0,1,1,1,0,1,0,1,1,0,0,13,0
Courtyard by Marriott Orlando South/John Young Parkway,32837,156,9.1,9.4,9.1,9.2,9.1,8.8,8.5,8.7,1,1,0,0,0,0,0,1,0,0,1,1,0,8.1,0
Loyalty Vacation Homes - Kissimmee,33896,174,9,8.8,9.2,9.1,8.9,8.9,9.3,8.9,0,1,0,1,0,0,0,1,1,1,0,0,0,20.5,0
Comfort Suites,32819,626,8.8,8.7,8.8,8.6,8.8,8.8,8.2,9.1,1,1,0,0,0,0,0,1,0,0,0,1,0,5.6,0
Best Western Orlando Gateway Hotel,32819,5361,8.4,8.3,8.2,8.1,8.7,8.3,8.6,8.8,1,1,0,1,0,0,0,1,0,0,1,1,0,6.8,0
Sheraton Suites Orlando Airport Hotel,32822,1094,8.6,8.7,8.8,8.5,8.5,8.1,8.7,8.8,0,0,0,1,1,0,0,1,0,1,1,0,0,6.8,0
Fairfield Inn & Suites by Marriott Orlando International Drive/Convention Center,32819,690,8.7,8.8,8.8,8.6,8.7,8.5,8.6,9.1,0,1,1,1,0,0,0,1,0,0,0,1,0,7.5,0
Hilton Orlando,32819,957,8.5,8.8,8.8,8.8,8.6,7.5,6.5,8.6,1,0,0,1,1,0,0,0,0,0,1,1,1,8.7,0
Marriott's Cypress Harbour Villas,32821,317,9.5,9.5,9.7,9.6,9.5,9.3,9.8,9.6,0,1,0,1,0,0,0,1,0,0,1,1,0,10.6,0
Oakwater Resort 7514,34747,10,9,9.2,9.5,8.5,8.1,9.5,9.5,5,0,1,0,1,0,0,0,1,1,0,0,1,0,18.6,2
Cypress Pointe Resort by Diamond Resorts,32836,849,8.8,8.8,8.9,8.6,8.7,8.7,8.5,9,1,1,0,0,0,0,0,1,0,0,0,1,0,11.8,0
Regal Oaks Resort 2719,34746,8,8.9,8.5,9.1,9.1,8.8,8.8,10,9.4,0,1,1,0,0,0,0,1,1,0,1,0,0,16.2,0
Universal Studios Area Apartment,32819,67,9.2,9.1,9.5,9.2,8.9,9.2,8.8,9.3,0,1,0,1,0,0,0,1,0,0,0,1,0,8.1,0
Regal Oaks Resort 2749,34746,7,8.7,8.2,9.7,8.9,7.5,8.6,7.5,9.3,0,1,1,0,0,0,0,1,1,0,1,0,0,16.2,0
Grande Villas Resort By Diamond Resorts,32836,869,8.9,8.8,8.9,8.8,8.9,8.7,8.5,9.1,0,1,1,1,0,0,0,1,0,0,0,1,0,11.8,0
Legacy Vacation Resorts - Lake Buena Vista,32836,641,8.5,8.3,8.5,8.2,8.8,8.4,8.6,8.9,0,1,0,1,0,0,0,1,1,0,0,1,0,12.4,0
Grand Beach Resort By Diamond Resorts,32821,518,9,9,9.2,8.9,8.8,8.8,8.8,9.1,0,1,0,1,0,0,0,1,1,0,0,1,0,13.7,0
Patty's Place,34747,19,9.4,9.5,9.5,9.4,9.4,9.4,10,9.6,0,1,0,1,0,0,0,1,1,0,0,1,0,19.3,0
