hotel,Score,Cleanliness,Comfort
Popular Hollywood Celebrity Suite,8.2,8.4,8.3
BLVD Hotel & Suites,8.0,8.2,8.0
Kimpton La Peer Hotel,8.8,9.5,8.7
Beverly Hills Plaza Hotel,8.4,8.7,8.6
Popular Downtown LA Presidential Pool Table High Rise,8.2,7.6,8.4
Hampton Inn Los Angeles Int'l Airport/Hawthorne,8.5,9.0,8.8
Luxe Rodeo Drive Hotel,8.2,8.4,8.1
Popular Downtown LA Governor Suite,9.2,9.1,9.3
Residence Inn by Marriott Los Angeles L.A. LIVE,8.7,8.9,8.9
Luxury Home In The Heart of LA,9.4,9.6,9.5
DTLA Staples Center Suite,8.2,8.4,8.4
Courtyard Los Angeles Westside,8.2,8.7,8.5
Popular Hollywood Blvd Luxury Penthouse,8.5,8.6,8.8
Oakwood Toluca Hills,8.1,7.8,8.4
Popular Hollywood Skyline View Penthouse,8.5,8.8,9.3
Heaven on Hollywood Furnished Apartments,7.9,7.7,8.0
Downtown LA 3-Bedroom Pool Suite #1,8.4,8.6,9.1
Popular Hollywood Blvd Modern Suite,8.4,8.5,8.6
Popular Hollywood Prestige Suite,8.2,8.3,8.1
The Peninsula Beverly Hills,9.4,9.7,9.6
East West Comfort: Downtown LA Cozy Apartments,9.1,9.6,9.1
Hollywood Private Bungalow,9.0,8.8,8.8
Urban DTLA Chic Stylish Suite,8.8,8.7,8.5
Hollywood Megastar 5 beds 2-BR pool,9.3,8.1,10.0
Popular Downtown LA Cirrus Resort Style Suite,8.1,8.1,8.6
LA Clean and Comfy Suite,8.9,8.4,8.9
Urban DTLA VIP Penthouse with Pool Table,9.4,9.4,9.7
Urban 20 FT Two Level Loft,9.3,10.0,10.0
AIR Venice on the Beach,7.8,7.9,7.5
Global Luxury Suites at Figueroa Street,8.3,8.2,8.6
Tuck Hotel,9.0,9.4,9.2
Urban DTLA Resort Style Flamingo Suite,9.0,8.7,9.4
Homewood Suites By Hilton Los Angeles International Airport,9.0,9.3,9.3
Modern 2BR/2BA in the Heart of Hollywood,8.5,8.3,8.5
Studio Plus - Hollywood Luxury 2BR APT,8.2,7.9,8.5
Loft on Hollywood Walk of Fame,8.6,8.1,8.5
The Hollywood Roosevelt,8.3,8.6,8.2
Crowne Plaza Los Angeles International Airport,8.1,8.4,8.2
Residence Inn by Marriott Los Angeles LAX/Century Boulevard,8.6,8.9,8.9
Urban Downtown LA Moroccan Resort Suite,8.8,8.5,9.0
Villa Delle Stelle,8.9,9.0,9.0
The Beverly Hilton,8.0,8.4,8.1
Fabulous Apt Walk to Santa Monica Beach 17,9.4,10.0,9.3
The LINE Hotel,8.2,8.7,8.2
Los Stylish Apartment Nice Area DTLA,8.6,8.6,8.8
Hollywood Glamourous Apartment,9.0,8.8,9.3
