hotel,Score,Cleanliness,Comfort
Candlewood Suites NYC -Times Square,8.1,7.7,8.1
Hotel Hayden New York,8.1,7.9,8.0
SIXTY SoHo,8.6,9.1,8.7
Hotel Lucerne,8.5,8.9,8.4
The Time New York,8.2,8.5,8.0
Best Western Premier Herald Square,8.5,8.9,8.2
Fairfield Inn by Marriott New York Manhattan/Financial District,8.2,8.7,8.0
Club Quarters Hotel Midtown - Times Square,8.1,8.1,7.7
Hyatt Herald Square New York / 5th Avenue,8.2,8.5,8.0
Sohotel,8.3,8.6,7.9
The Jewel Facing Rockefeller Center,8.6,8.8,8.3
U Hotel Fifth Avenue,8.1,8.5,7.4
Hotel Wolcott,7.9,8.1,7.7
AKA Wall Street,9.3,9.4,9.5
The Peninsula New York,8.7,9.0,8.8
Club Quarters Hotel Wall Street,8.2,8.4,8.0
Hotel Indigo Lower East Side,8.7,9.1,8.9
The Allen Hotel,8.6,9.0,8.4
"Club Quarters Hotel, Grand Central",8.7,8.9,8.6
Courtyard New York Manhattan/Times Square,8.4,8.5,8.4
The NoMad Hotel,9.0,9.4,9.2
Great Renovated Apartments Best Location Manhattan,8.3,7.6,8.1
Freehand New York,8.8,9.0,8.6
Midtown Lodging,8.5,8.3,8.1
Four Points by Sheraton Manhattan Midtown West,8.4,9.0,8.5
City Club Hotel,8.3,8.4,8.0
Four Points by Sheraton Midtown - Times Square,8.4,8.6,8.2
Modern Apartments next to Times Square,8.2,8.0,7.8
"Hotel Shocard, New York",8.3,8.6,7.7
Carvi Hotel New York,8.4,8.7,8.2
Cassa Hotel 45th Street New York,8.7,9.0,8.6
"The New Yorker, A Wyndham Hotel",7.8,8.0,7.6
Dream Midtown,8.1,8.5,7.8
"Park South, a Joie de Vivre Hotel",8.6,8.9,8.5
"The Bernic Hotel New York City,Tapestry Collection by Hilton",8.7,9.0,8.6
Four Seasons Hotel New York Downtown,9.4,9.8,9.8
Hampton Inn Manhattan Grand Central,8.7,8.9,8.4
New York Hilton Midtown,7.9,8.1,7.9
Distrikt Hotel New York City,8.5,8.8,8.5
Fairfield Inn & Suites by Marriott New York Downtown Manhattan/World Trade Center Area,8.8,8.9,8.7
The Mercer,8.9,9.4,9.0
"The Chatwal, a Luxury Collection Hotel, New York City",8.9,9.4,9.0
Heart of Midtown,8.7,8.8,8.2
Sofitel New York,8.6,8.8,8.7
Times Square HighLine Two Bedroom,9.2,8.8,8.8
Lotte New York Palace,8.8,9.0,9.0
Sanctuary NYC Retreats,8.8,8.8,8.9
Homewood Suites Midtown Manhattan Times Square South,8.9,9.0,8.9
The Roger,8.4,8.7,8.4
Fairfield Inn & Suites by Marriott New York Manhattan/Chelsea,8.1,8.2,7.7
Ameritania at Times Square,8.2,8.3,8.0
Four Points by Sheraton Manhattan Chelsea,8.1,8.3,7.9
Walker Hotel Greenwich Village,8.4,8.7,8.1
John Street Apartment,8.4,8.2,8.9
Element Times Square West,8.0,7.8,7.9
The Roxy Hotel Tribeca,8.9,9.1,9.0
Hotel Wales,8.1,8.4,7.9
Four Points by Sheraton New York Downtown,8.1,8.4,8.1
Loews Regency New York Hotel,8.8,9.1,9.0
Grand Hyatt New York,7.8,7.8,7.8
The Whitby Hotel,9.5,9.9,9.7
Holiday Inn Manhattan Financial District,8.1,8.4,8.1
11 Howard,8.5,8.8,8.3
The Frederick Hotel,8.3,8.9,8.0
Orchard Street Hotel,8.3,8.6,7.7
Hotel Hugo,8.1,8.5,8.1
"The Pierre, A Taj Hotel, New York",9.0,9.3,9.1
Hyatt Union Square New York,8.7,9.0,8.7
Club Quarters Hotel World Trade Center,8.6,8.8,8.5
DoubleTree Suites by Hilton NYC - Times Square,8.2,8.1,8.1
Seton Hotel,8.3,8.7,7.8
AKA Sutton Place,9.1,9.2,9.1
Courtyard by Marriott New York Downtown Manhattan/World Trade Center Area,8.6,9.1,8.7
Courtyard New York Manhattan/Midtown East,8.3,8.6,8.4
The Marcel at Gramercy,8.2,8.4,7.9
The Kitano Hotel New York,8.7,9.1,8.9
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,8.8,9.1,8.9
Fifty Hotel & Suites by Affinia,8.2,8.4,8.3
IBEROSTAR 70 Park Avenue Hotel,8.3,8.3,8.3
Courtyard by Marriott New York Manhattan/Chelsea,8.5,8.9,8.5
Best Western Bowery Hanbee Hotel,8.0,8.2,7.8
Hotel on Rivington,8.4,8.6,8.6
Athenas Domus CS 6E,9.5,10.0,9.6
Hampton Inn Manhattan - Times Square South,8.2,8.4,8.0
Tribeca Lofts,8.1,8.4,8.1
Cambria Hotel New York - Chelsea,8.8,8.7,8.8
JW Marriott Essex House New York,7.9,8.0,8.0
Hampton Inn Manhattan-35th Street/Empire State Building,8.6,8.6,8.4
Hilton Garden Inn New York Times Square South,8.7,9.0,8.8
Sheraton Tribeca New York Hotel,7.8,7.8,7.9
Wellington Hotel,7.7,7.8,7.5
The London NYC,8.2,8.4,8.5
Broadway Plaza Hotel,8.5,8.8,8.5
Eurostars Wall Street,7.9,7.8,7.9
Sanctuary Hotel New York,8.6,8.9,8.3
InterContinental New York Barclay Hotel,8.8,9.2,9.1
Aloft Manhattan Downtown - Financial District,8.3,8.7,8.3
EVEN Hotel New York Times Square South,9.0,9.4,9.1
"The Lexington, Autograph Collection",8.2,8.4,8.1
The Mark New York,9.0,9.4,9.2
Studios Midtown Manhattan,8.5,8.6,7.8
Hilton Times Square,8.5,8.7,8.7
Holiday Inn Express New York City Chelsea,8.1,8.3,7.7
Oakwood at the Nash,8.8,8.8,8.9
Andaz Wall Street-a concept by Hyatt,8.7,8.7,8.8
Room Mate Grace Boutique Hotel,8.7,8.8,8.5
DoubleTree by Hilton NYC - Financial District,7.9,8.0,7.9
Big 3 BDR Apt Times Square 9th Ave,8.1,7.8,7.9
East Village Hotel,8.0,7.8,7.8
The Smyth,8.5,9.0,8.7
The James New York - NoMad,8.2,8.4,8.4
Conrad New York,9.1,9.5,9.4
La Quinta Inn & Suites Manhattan,8.0,8.3,7.8
Four Points by Sheraton Manhattan SoHo Village,8.1,8.2,7.9
Residence Inn by Marriott New York Downtown Manhattan/World Trade Center Area,8.8,8.9,8.9
Kimpton Ink48 Hotel,8.7,9.2,9.0
Hilton Garden Inn West 35th Street,8.6,8.7,8.5
Hilton New York Fashion District,8.2,8.5,8.2
Leon Hotel,8.3,8.7,8.5
Kimpton Hotel Eventi,8.7,9.0,8.9
INNSIDE by Melià New York Nomad,8.6,8.7,8.6
The Hotel at Times Square,7.9,7.9,7.8
AKA United Nations,9.2,9.3,9.5
Hilton Garden Inn New York/Manhattan-Chelsea,8.3,8.5,8.1
Staybridge Suites - Times Square - New York City,8.2,8.1,8.1
Viceroy Central Park New York,7.9,8.2,7.8
The Iroquois New York,8.9,9.2,8.7
Hotel 48LEX New York,8.4,8.5,8.6
Moderne Hotel,8.6,8.6,8.2
Hilton Garden Inn Times Square,8.3,8.5,8.4
Gramercy Park Hotel,8.4,8.9,8.7
Crosby Street Hotel,9.4,9.8,9.7
Hilton Garden Inn Times Square Central,8.3,8.5,8.3
The Kimpton Muse Hotel,8.9,9.2,8.9
Hampton Inn Manhattan-Times Square North,8.2,8.2,8.2
Hilton Garden Inn New York Manhattan Midtown East,8.4,8.7,8.4
Mondrian Park Avenue,8.8,9.2,8.9
Hampton Inn Manhattan/Downtown- Financial District,8.3,8.7,8.2
Hilton Garden Inn New York/Tribeca,8.2,8.4,8.0
The Gregory,7.9,8.0,7.8
Crowne Plaza HY36 Midtown Manhattan,8.7,9.2,8.9
Hotel 32 32,8.0,8.2,7.9
Residence Inn by Marriott New York Manhattan/ Midtown Eastside,8.8,9.1,8.9
Hampton Inn Manhattan Chelsea,8.6,8.8,8.5
Hampton Inn Times Square Central,8.8,9.0,8.8
Bentley Hotel,7.8,8.1,7.8
Madison LES Hotel,8.6,8.3,8.8
The Watson Hotel,7.8,7.8,7.7
DoubleTree by Hilton Metropolitan New York City,7.8,8.0,7.8
East Village Apartments,9.5,9.8,9.4
Q&A Residential Hotel,9.1,9.1,9.4
DoubleTree by Hilton - Chelsea,7.9,7.9,7.7
Holiday Inn Express - Times Square,7.8,7.9,7.5
Sheraton New York Times Square Hotel,7.6,7.8,7.5
The Gotham Hotel,8.1,7.9,8.1
Hotel Edison Times Square,7.5,7.7,7.2
Hotel Belleclaire,7.8,8.0,7.5
"Hampton Inn Manhattan-SoHo, NY",7.9,8.0,7.8
Dream Downtown,7.8,8.1,7.6
Wingate by Wyndham Manhattan Midtown,7.6,7.4,7.5
Cassa Hotel Times Square,8.1,8.1,8.1
Shoreham Hotel,7.5,7.7,7.0
Today House - Times Square North,9.3,9.1,9.1
Tiffini,8.8,9.0,8.7
Your Home in Harlem,8.9,9.2,9.1
Dylan Hotel NYC,7.9,7.9,7.8
Empire Hotel,7.5,7.6,7.2
Home NYC,9.7,9.8,9.9
Private Room in Time Square,9.0,8.8,8.2
Millennium Broadway Times Square,7.8,7.6,7.7
Midtown East Deluxe 2 Bedroom Apartment,7.5,7.8,7.8
The Gatsby Hotel,7.7,8.0,7.2
Hotel Central Fifth Avenue,7.6,7.7,7.1
Cachet Boutique Hotel NYC,7.9,8.1,7.9
La Quinta Inn & Suites New York City Central Park,7.5,7.8,6.7
Beautiful Manhattan Apartment,7.7,7.7,7.2
Fairfield Inn & Suites by Marriott New York Manhattan/Fifth Avenue,8.4,8.5,8.0
Holiday Inn Manhattan 6th Ave - Chelsea,7.6,7.8,7.3
The Hotel @ New York City,7.5,7.7,7.6
"Perfect 3 BR, Midtown East, Doorman Apt",7.2,7.7,6.8
"Hudson New York, Central Park",7.2,7.4,6.5
Washington Jefferson at Times Square,7.7,7.9,6.9
Heritage Hotel New York City,7.2,7.2,6.7
Solita Soho Hotel,7.7,7.8,7.3
The Gallivant Times Square,7.2,7.2,6.9
Concorde Hotel New York,9.2,9.5,9.2
Times Square Lux Highrise,7.0,6.9,7.1
Days Inn by Wyndham Hotel New York City-Broadway,6.8,6.6,6.4
Westgate New York City,7.5,7.7,7.5
Midtown East Spacious Apartment,6.5,5.8,5.8
Amsterdam Court Hotel,7.3,7.0,6.6
Hotel Stanford NYC,8.0,8.0,7.6
Night Hotel Times Square,7.5,7.7,6.7
Spacious Apartment in Prime Location,7.6,7.3,7.6
DoubleTree by Hilton New York Times Square South,7.4,7.5,7.1
Hotel Marrakech,6.8,6.7,6.2
The Ludlow Hotel,9.1,9.5,9.2
The Quin,8.8,9.0,8.8
The Marlton Hotel,8.7,9.2,8.4
FiDi 3bed/2baths,8.2,8.5,7.5
Hotel Beacon,8.8,8.9,9.0
Beautiful apartment next to Central Park,7.2,6.5,7.4
The Pearl Hotel,9.0,9.2,8.9
Soho Grand Hotel,8.5,8.7,8.5
Oakwood Aurora Midtown East,8.6,8.8,9.6
The Wagner Hotel,9.3,9.6,9.5
Washington Square Hotel,8.6,8.8,8.3
Carnegie Hotel,8.9,9.4,8.8
Pod 39,8.2,8.7,7.5
Murray Hill East Suites,8.7,7.9,8.6
YOTEL New York Times Square,8.3,8.5,8.2
The Manhattan Club,8.5,8.6,8.5
Luxury Suites in Murray Hill,8.3,8.5,8.2
The Knickerbocker,8.8,9.0,9.1
Pod Times Square,8.7,9.1,8.3
3 BEDROOM 1 BATHROOM TIMES SQUARE D,8.2,7.9,7.8
Studio Plus - Midtown Spacious Apartment,7.4,7.1,7.0
Excelsior Hotel,8.4,8.7,8.5
Royalton Park Avenue,8.7,9.0,9.0
Embassy Suites By Hilton New York Midtown Manhattan,8.4,8.4,8.5
The Bowery Hotel,9.1,9.4,9.3
W New York - Times Square,7.9,8.0,7.9
Best Western Plus Hospitality House Suites,8.5,8.6,8.4
Hilton Garden Inn New York/Midtown Park Avenue,8.6,8.9,8.4
"NYC Charmer, Central Park/Lincoln Center",9.7,9.0,9.5
Harlem Grand,8.5,9.0,8.6
Hamilton Heights Lovely Apartments,7.1,7.2,7.3
The Skyline Hotel New York,8.0,8.1,8.1
Baccarat Hotel and Residences New York,9.3,9.6,9.5
The French Quarters,9.2,9.4,9.1
Renaissance New York Midtown Hotel,9.0,9.3,9.1
"The Renwick Hotel New York City, Curio Collection by Hilton",8.5,8.7,8.7
Chelsea Pines Inn,8.4,8.6,7.9
HI NYC Hostel,8.5,8.6,8.1
CITY ROOMS NYC - Times Square,8.7,8.7,8.0
Belnord Hotel,8.0,8.6,7.4
The Redbury New York,8.1,8.4,8.0
Refinery Hotel - New York,8.9,9.1,9.0
The Surrey,8.6,9.0,8.9
Millennium Hilton New York Downtown,8.2,8.3,8.3
Pod 51,8.0,8.5,7.4
Bryant Park Hotel,9.2,9.6,9.3
SpringHill Suites by Marriott New York Midtown Manhattan/Fifth Avenue,8.5,8.7,8.3
Courtyard by Marriott New York Manhattan/Herald Square,8.5,8.8,8.4
Royalton New York,8.1,8.3,8.1
The Westin New York Grand Central,8.1,8.3,8.4
TEN15NYC,8.2,8.5,7.9
Leo House,8.2,8.4,7.5
Fairfield Inn & Suites by Marriott New York Manhattan/Central Park,8.6,9.0,8.5
Premium Apartments-Time Square,8.6,8.3,8.3
Stylish 2BR Apartment in UWS,8.4,7.9,7.5
Hotel Metro,8.5,8.7,8.5
Mandarin Oriental New York,8.6,9.0,8.9
The Maritime Hotel,8.9,9.2,8.8
The Jane,8.0,8.1,7.0
NobleDEN Hotel,9.0,9.6,9.2
Gardens Suites Hotel by Affinia,8.4,8.6,8.6
Garden House with 2 Bedroom,8.3,8.0,7.9
Four Seasons Hotel New York,8.8,9.3,8.8
Nice and Renovated Apartments near Times Square,7.5,6.7,7.0
Hampton Inn Madison Square Garden,8.6,8.8,8.2
AC Hotel by Marriott New York Times Square,8.4,8.6,8.3
Roger Smith Hotel,8.5,8.5,8.4
Courtyard by Marriott New York Manhattan/ Fifth Avenue,7.9,8.2,7.7
Hôtel Plaza Athénée,8.6,9.0,8.6
Home In The Heart Of East Village,7.0,6.3,6.7
Aloft Harlem,8.5,8.8,8.6
PermaGO Seaport,7.8,8.3,7.8
Broome Street Apartment - Lower East Side #19,7.6,8.2,7.0
NYLO New York City,8.2,8.4,8.4
The Plaza,8.5,8.8,8.9
The Kimberly Hotel & Suites,9.2,9.4,9.4
The Townhouse Inn of Chelsea,8.6,8.7,8.4
Harlem Lofts,9.2,10.0,9.4
Hotel Alexander,8.1,8.0,7.7
3 West Club,8.2,8.5,7.7
Beauty Near Times Square,8.5,8.8,7.7
The William,8.9,9.2,9.1
"Hotel Henri New York, A Wyndham Hotel",7.6,7.6,7.4
WestHouse Hotel New York,8.2,8.4,8.4
Fairfield Inn & Suites by Marriott New York Midtown Manhattan/Penn Station,8.5,8.7,8.5
Hotel Elysee by Library Hotel Collection,9.1,9.4,9.0
New York Marriott Downtown,8.4,8.7,8.4
Hotel Mimosa,8.3,8.5,8.0
W New York - Union Square,8.3,8.6,8.6
Athenas Domus CS,9.4,9.8,9.5
Hotel Mulberry,8.6,9.0,8.7
Hotel Giraffe by Library Hotel Collection,9.4,9.6,9.5
Fitzpatrick Manhattan,8.8,9.1,8.8
Renaissance New York Times Square Hotel,8.2,8.3,8.3
The Sherry Netherland,9.3,9.5,9.5
Nice Apartment in the Heart of Upper East Side,8.5,8.2,8.3
Sago Hotel,8.8,9.2,8.9
Jun New York Mid Town II,8.3,7.9,7.8
Library Hotel by Library Hotel Collection,9.3,9.6,9.2
The Marmara Manhattan,8.7,8.6,8.9
Lower East Side 3 Bedroom,8.2,8.9,8.8
San Carlos Hotel New York,8.9,9.1,8.9
Jenny's Apartments - Upper East Side,8.8,9.5,8.6
Athenas Domus HL,8.6,8.9,8.4
Serviced Concierge Elevator 1 BDR,8.3,7.0,7.5
Super Comfortable Times Sqr Central Park Broadway,8.4,8.1,7.8
Modern Three Bedroom Apartment - Upper East Side,8.3,9.0,8.3
Gild Hall - A Thompson Hotel,9.0,9.3,9.2
Jazz on Columbus Circle Hostel,8.0,8.1,7.6
Fitzpatrick Grand Central,9.0,9.2,9.0
The High Line Hotel,8.6,8.8,8.8
Michelangelo Hotel,8.8,9.1,9.1
The Premier Times Square by Millennium,8.2,8.4,8.2
Edge Hotel Washington Heights,8.6,9.2,8.5
NYC Townhouse,9.1,9.6,9.1
The Gallery House,8.5,8.8,8.2
Ivy Tower Suites in Times Square,8.3,8.1,7.8
Jun New York Mid Town I,8.4,7.8,8.2
Duane Street Hotel Tribeca,8.6,8.7,8.3
Jun New York Mid Town III,8.6,8.3,8.5
Courtyard New York Manhattan/Upper East Side,8.1,8.6,8.3
Historic Harlem Duplex,8.4,8.5,8.2
"The Algonquin Hotel Times Square, Autograph Collection",8.6,9.0,8.5
"Broadway, Times Square, Central Park Studio",8.3,8.4,7.9
The Wall Street Inn,8.6,9.1,8.8
The Marmara Park Avenue,8.8,9.2,9.0
West 119th B&B,9.3,9.5,9.2
The Greenwich Hotel,9.4,9.8,9.6
Three-Bedroom Apartment West 25th Street,7.6,7.7,6.8
Casablanca Hotel by Library Hotel Collection,9.5,9.7,9.4
Times Square Perfect Home,8.6,8.8,8.3
Two Bedroom Apartment - East 34th Street,7.9,7.8,7.4
Holiday Inn New York City - Times Square,8.1,8.4,7.9
Shelburne Hotel & Suites by Affinia,8.2,8.3,8.4
"The Ritz-Carlton New York, Central Park",8.7,9.1,8.9
The James New York - SoHo,8.2,8.2,8.3
Large 1 Bedroom Chinatown,9.2,9.5,9.0
Full Studio Near The Central Park,8.0,8.0,7.8
Central Park N Residence,8.5,8.7,9.1
Lowell Hotel,9.0,9.7,9.1
The Madison House,8.8,9.2,8.5
Sweet Home,9.4,9.5,9.3
The Tuscany - A St Giles Signature Hotel,8.6,8.8,9.0
Wyndham Midtown 45,7.9,8.0,7.9
Midtown West Suites at 48th Street and Times Square,8.4,8.3,7.9
Fairfield Inn & Suites New York Manhattan/Downtown East,8.3,8.8,8.4
The Broome,9.2,9.5,9.1
Manhattan Studio Apartment mid-west,7.9,8.0,7.2
Great View Midtown East 2BR apt,8.3,7.9,7.5
Lex Hotel NYC,8.8,9.3,8.5
CITY ROOMS NYC - Soho,8.1,8.1,7.6
West 57th Street by Hilton Club,8.7,9.0,8.9
Travel Inn - Midtown Manhattan,7.6,7.7,7.3
The Cozy Apartment,7.1,6.6,6.3
Omni Berkshire Place,8.7,8.9,8.8
Soul Food (Mont Morris),8.8,9.2,8.8
Three Bedroom Apartment - West 148th Street,8.0,8.4,8.2
Stewart Hotel,7.8,7.6,7.6
414 Hotel,9.2,9.5,9.0
The Benjamin,8.1,8.2,8.2
Colonial House Inn,8.2,8.6,7.5
Avalon Hotel,8.4,8.6,8.4
SoHo Garden Hotel,7.8,8.0,7.2
Incentra Village Hotel,7.8,7.8,7.5
One Bedroom Apartment - Two Columbus Place,7.5,7.0,7.2
NYC Townhouse Apartment,8.7,8.5,8.2
Off SoHo Suites Hotel,7.9,7.8,7.5
Luxurious Two Bedroom Apartment in Doorman Building - Lincoln Center,8.1,8.9,8.4
Comfort Inn Midtown West,7.9,8.0,7.6
"Night Hotel Theater District, Times Square",7.8,8.0,7.3
"Studio 2 min Walk to Times Square, 9th Ave and Central Park",8.0,7.9,7.8
The Ridge Hotel,7.9,8.0,7.3
Hampton Inn Seaport Financial District,8.1,8.4,7.9
Nap York,8.3,8.6,7.8
The GEM Hotel - Chelsea,7.7,7.7,6.9
Wyndham Garden Chinatown,8.0,8.6,8.1
Apartments Lincoln Center,8.2,8.0,7.9
Courtyard by Marriott New York Manhattan / Soho,8.6,8.8,8.6
Newly Renovated Three Bedroom Lower East Side,8.3,8.5,7.1
Hotel St. James,7.9,8.0,7.2
Spacious studio in an elevator concierge building,8.3,7.8,7.5
"Marriott Vacation Club Pulse, New York City",8.5,9.0,8.2
Times Square Studio,8.3,7.7,7.9
Holiday Inn Lower East Side,8.1,8.7,8.2
The Marc Suites at Times Square,8.7,8.3,8.8
Hotel 31,8.1,8.7,7.4
Hotel Newton,7.7,8.1,7.3
Four Bedroom Apartment - NYC,8.8,9.2,8.3
The Modern @ Rockefeller,8.0,7.9,7.5
Hotel Americano,8.0,8.6,7.8
Hotel Mela Times Square,7.8,8.0,7.5
Be Local Chinatown,8.5,8.8,7.8
PermaGO Wall Street,8.3,8.0,8.2
W New York - Downtown,8.0,8.1,8.2
Home Away From Home,7.8,7.4,7.3
Park Lane Hotel - A Central Park Hotel,7.6,7.4,7.6
Holiday Inn Express - Wall Street,8.1,8.3,7.6
Park Central,7.9,8.1,8.0
Manhattan Studio in Hells Kitchen,8.8,9.0,8.3
Lita's New York Apartments,8.4,9.2,8.2
Little Italy Grand,8.2,8.4,7.8
The Park Ave North,7.7,8.4,7.8
Huge 2 Bed 2 Bath Apartment in Building with Elevator,8.5,7.5,8.2
Chelsea Inn,7.4,7.5,6.8
New York Marriott East Side,7.8,7.9,7.7
Green Holidays Apartments,7.4,7.4,6.8
Apartment Close to Time Square,8.4,8.0,8.0
PermaGO FiDi,8.3,8.2,8.1
Maison le Grange,9.1,9.3,9.2
Saint Nicholas Inn,8.0,7.7,7.8
Comfort Inn Times Square West,8.0,7.7,7.6
Holiday Inn Wall Street,7.9,8.1,7.8
"Times Sq, Broadway, Central Pk- Steps Away",8.2,8.2,8.0
3/2 Central Park #4,8.0,8.3,8.3
Holiday Inn Express Manhattan Midtown West,7.7,8.0,7.5
Renovated 3 Bedroom Loft Manhattan #44,8.1,8.9,7.9
Loft with Central Park View,8.7,8.9,8.4
Studio Apartment - East 31st Street #30,7.8,7.7,7.6
6 Columbus - A SIXTY Hotel,7.6,7.8,7.1
Studio Plus - Cozy Apartments,7.1,6.5,6.6
Seafarers International House,7.5,7.3,6.7
Sunny Three Bedroom Apartment Lower East Side,7.9,7.5,7.5
Hamilton Heights: Luxurious 2 Bedroom Home,8.0,8.2,8.1
Da Vinci Hotel,7.6,7.7,7.0
Parker New York,7.7,7.9,7.6
Modern Studio Apartment - Midtown East L,7.8,7.0,8.5
"Nyma, The New York Manhattan Hotel",7.6,7.5,7.4
Hilton Club New York,8.5,8.8,8.8
2 Bedrooms Suite in Financial Disctrict,7.8,8.2,7.5
New private studio-apartment,8.0,8.2,8.2
"The Paul, an Ascend Hotel Collection Member",7.8,8.0,7.6
Row NYC at Times Square,7.1,7.0,6.8
The Maxwell New York City,7.6,7.8,7.4
East Side 3 bed 2 bath (6),7.3,6.9,6.6
Chelsea Duplex Apartment,7.7,7.2,8.2
One Bedroom Apartment - Mott Street #16,7.3,7.7,7.0
Macy Empire Apartments,7.3,7.1,6.7
Steps From Times Sq and Central Park,7.6,7.4,7.2
Studio Apartment - United Nations Plaza,7.8,7.8,7.3
Bloc Away From Central Park Three-Bedroom Apartment with Private Balcony,6.5,6.3,6.9
NY Away - Hells Kitchen/ Times Square 2 Bedroom,7.7,7.8,8.0
Prime Location Times Square 2 Bedrooms,8.0,8.5,7.5
Vanderbilt YMCA,7.2,7.3,6.2
Central Two Bedroom Apartment In Times Square,6.1,5.7,5.2
Two Bedroom Apartment with City View - Lincoln Center,7.6,7.5,7.8
Midtown Convention Center Hotel NYC,6.6,6.4,6.3
Chelsea Savoy,7.6,7.9,7.1
Three-Bedroom Apartment with Two Bathrooms - East 55th Street,8.0,7.5,8.0
St Marks Hotel,7.1,7.1,6.1
Paramount Times Square,6.8,6.7,6.2
Mayfair New York Times Square,7.3,7.1,6.6
West Side YMCA,7.2,6.7,6.1
Hudson River Hotel,6.9,6.9,6.5
Econo Lodge Times Square,7.4,7.5,6.4
Bryant Park Studio Apartment Times Square South,7.9,7.2,7.9
Madison Avenue Luxury Two Bedroom Apartments Next to Times Square,7.1,7.6,6.4
Midtown Times Square Apartment,7.7,6.9,7.5
36 Hudson Hotel,7.6,7.9,7.3
Little Italy Penthouse,7.9,7.7,7.0
2 Bedroom Apartment Hell's Kitchen,7.0,7.4,6.3
The Manhattan at Times Square,6.9,6.4,6.6
Park West Hotel,7.0,7.0,6.2
Manhattan Studio Apartments,7.3,7.1,7.0
Riverside Tower Hotel,7.2,7.2,6.1
Studio-Plus Apartment,7.2,6.6,6.9
Two Bedroom Apartment - Madison Avenue,7.2,6.8,6.5
The Ideal 2 Bedroom Getaway by Central Park UWS,7.2,7.5,7.5
Broadway Suite New York,7.5,7.6,7.0
CITY ROOMS NYC - Chelsea,8.0,8.2,7.1
Manhattan Broadway Hotel,6.4,6.1,5.4
Chelsea Cabins,7.3,7.5,6.0
Two Bedroom Apartment - West 58th Street,7.7,7.8,7.3
Midtown Suite New York,6.0,5.3,5.7
Americana Inn,7.5,7.7,6.7
